,name,time,tweet,Source,Likes,RTs,Localization
20,Vampire do Bem 🌹🇧🇷🌈,2022-11-08 05:26:14+00:00,"@vivas_bianca @MichelePradoBa Afinal, como a srta sabe que realmente Tebet ou Ciro não teriam dado um banho muito m… https://t.co/17cTFLcFyY",Twitter Web App,0,0,São Paulo
21,Gabriel Sampaio ⚫⚪🦅 (65/45),2022-11-08 03:13:17+00:00,@KessioDione @choquei Vai torcer contra o Ney que vai representar o nosso país na copa pq ele votou no Bolsonaro? F… https://t.co/SNN6qhgG2U,Twitter for Android,0,0,
22,Aline,2022-11-08 02:44:06+00:00,"@oliviasantana65 @jonesmanoel_PCB O Lula estava 5 milhões de votos na frente no primeiro turno, no segundo turno fo… https://t.co/T5q9SWEIgt",Twitter for Android,0,0,
23,Carlos Biady,2022-11-08 02:35:39+00:00,"@ronaldaraujjo22 @itatiaia Preso!

Não é questão ser Bolsonaro x Lula, mas o cara era pra estar preso pô. 

Se foss… https://t.co/O8xeVujBFh",Twitter for Android,1,0,
24,Gustavo Ferreira,2022-11-08 01:41:08+00:00,@MazitaChaves @elzamariana Repito : nem Ciro e nem Tebet teriam os 45% que o Lula teve no Rio de Janeiro e em São P… https://t.co/Xe0yQBdI4C,Twitter for Android,2,0,
25,Gustavo Ferreira,2022-11-07 22:37:32+00:00,"@SissyRibs @elzamariana Ninguém nega. Mas também é inegável a base social do lulismo.

Nem Ciro e nem Tebet possuem… https://t.co/DoaBUezHUl",Twitter for Android,1,0,
26,FER 1️⃣3️⃣🚩,2022-11-07 22:25:01+00:00,"@augustodefranco Claaaaaaaaro. O Ciro encolheu de 12% para 3%, mas teria 80% contra o Bolsonaro. Tebet, que chegou… https://t.co/eYhEBmB5rF",Twitter Web App,1,0,Agartha
27,Leonardo,2022-11-07 21:45:37+00:00,"@DespolarizaRN @Intuiti15299066 @kaiodemarchi @jonesmanoel_PCB Não tem o que discordar, isso é um fato. 
Ciro fez u… https://t.co/S2wgJzHI61",Twitter for Android,0,0,Brasil
28,"Liberal, Cientista, Chato e Reclamão 🇧🇷",2022-11-07 17:49:50+00:00,"@Welber_noficial @MamuteMarcos Não vai ter jair, mas provavelmente vai ter Eduardo Bolsonaro, Não vai ter Lula, mas… https://t.co/xsh7PYs51H",Twitter Web App,0,0,Home
29,Iago Dhorson,2022-11-07 16:33:05+00:00,"Pessoas que eu odeio no cenário político(não como pessoa mas sim suas atitudes):

Lula
Bolsonaro
Janones
Jean Willy… https://t.co/gTWfkpuzuS",Twitter for Android,0,0,
30,Mc_Sapinho,2022-11-07 16:05:32+00:00,"@Haruah9 @redswan64 E outra, a maioria que votou Ciro e Tebet, foram pro Bolsonaro e outra parte Nulo, tanto que o… https://t.co/1Mq8JMlk7q",Twitter Web App,0,0,
31,Ysperᶜᵃᵐ,2022-11-07 15:39:30+00:00,@Hudy_xav E não é sobre o bolsonaro ser presidente qualquer pessoa eu aceitaria ser presidente o Ciro a Tebet e ent… https://t.co/rTfEfquxcW,Twitter for Android,0,0,"Minas Gerais, Brasil"
32,Capivara dos 3%,2022-11-07 15:17:14+00:00,"@Felipeffvieira @cirogomes Ciro não precisou nem falar o nome de Lula pra transferir quase os votos tudo pra ele, j… https://t.co/qnDt6T1mDD",Twitter for iPhone,1,0,
33,Alexandre - 🇨🇦 🇧🇷 🇪🇸 🇺🇦,2022-11-07 14:40:07+00:00,"@MichelePradoBa Michele, normalmente concordo contigo, mas acredito que se Lula houvesse se posicionado como apoio… https://t.co/yNgCvYGGgw",Twitter Web App,3,0,Canada
34,Élton Lima,2022-11-07 14:31:32+00:00,"@MichelePradoBa A votação em Bolsonaro só foi alta nas demais regiões pq Lula era o candidato.

Bolsonaro teria per… https://t.co/1Q7l8eJY9K",Twitter for Android,0,0,SP
35,Rafael Santos,2022-11-07 14:13:50+00:00,@SamuelsonXavie1 Querem garantir que em 26 nem Lula e nem bolsonaro possam se candidatar para que Ciro tenha alguma… https://t.co/97BgE0d0D2,Twitter for Android,0,0,
36,Vampire do Bem 🌹🇧🇷🌈,2022-11-07 11:55:53+00:00,"@MichelePradoBa Tenho pra mim que se não fossem essas estúpidas campanhas de voto útil, os candidatos com mais prop… https://t.co/3T3S1MdHG4",Twitter Web App,8,0,São Paulo
37,Rosy Araújo 🔥🌵,2022-11-07 11:25:09+00:00,"@karollgdutra @renatajbarreto As no primeiro turno lula já teve essa diferença , e no segundo ganhou .teve o apoio… https://t.co/nXJVnyp0sj",Twitter for Android,1,0,batalha - Alagoas
38,Rocco 🌵,2022-11-07 08:33:18+00:00,"@nelsonmelor @deccache @sorlr17 Foi apertado justamente por ser Lula, jovem. Rejeição semelhante a de Bolsonaro e o… https://t.co/MYWwFa9ANJ",Twitter for Android,4,0,
39,Chris,2022-11-07 05:27:36+00:00,"@tocantins79 @NildoOuriques Os próprios bolsominions me fizeram votar no Lula, o Brasil não aguenta mais 4 anos de… https://t.co/taIhbHuvlH",Twitter for iPhone,1,0,
40,Davi Belarmino 🇺🇦,2022-11-07 04:25:31+00:00,"@MarceloFlap discordo pra caralho, LULA é justamente o unico nome que deu tanta força ao Bolsonaro.
Não atoa foi o… https://t.co/TsOaS7VhYw",Twitter Web App,0,0,
41,Kurisu ♂️🇧🇷,2022-11-07 04:23:44+00:00,@dexianleagusu @Homaosapao @tracypestana_ @daenerysartt @brunnotiago @nicolascramos @choquei direita e se tivesse o… https://t.co/3Evr6UgnSy,Twitter for Android,0,0,
42,Regina Ayres,2022-11-07 03:30:03+00:00,"@CarlosM02091985 Meu Deus do céu, o PR Bolsonaro GANHOU NO PRIMEIRO TURNO, será que vamos ter que sofrer a angústia… https://t.co/ZsBuuypw5z",Twitter Web App,0,0,"Marília, Brasil"
43,DreewJC,2022-11-07 03:28:25+00:00,"@kassandrando @cafecomferri Kkkkkkkkkkkkkk esse delírio coletivo pós segundo turno, de acharem que a Simone Tebet t… https://t.co/Nk6HrAS7lI",Twitter for Android,1,0,
44,Promo da Cami,2022-11-07 02:04:26+00:00,@ELIFABRIN @MauricioRicardo @cirogomes Vi grande parte das pessoas que votaram no Ciro e na Simone tebet dizendo qu… https://t.co/bM2Vw1qqOp,Twitter for Android,0,0,
45,Filca San,2022-11-07 01:44:55+00:00,"@kenamaral_ @CruzeiroEtern13 @futesatofc @walkerlan5 @brunacolinas @monark Eu acredito q teve fraude, quem ganhou f… https://t.co/2xWfzCiI4h",Twitter Web App,2,0,
46,Ednilson Araujo,2022-11-07 01:22:12+00:00,@nivaldoguilh @marinacaselatto @Pedrinmiguel07 @sopralobomal @Jee_Daniel @brunacolinas @monark Lula não ganhou com… https://t.co/e9Luvr6bgm,Twitter for Android,1,0,Ribeirão Pires/SP
47,Lucas 🇺🇦🇹🇼🇽🇰,2022-11-06 20:28:58+00:00,"@luanufal Todos governam para a elite, seja Bolsonaro, Lula, Ciro, Tebet, etc. No governo petista os banqueiros tiv… https://t.co/DLoyudyjTG",Twitter Web App,1,0,"São Paulo, Brasil"
48,Fábio Queiroz,2022-11-06 19:18:10+00:00,"Lula fez o TSE roubar Ciro Gomes Simone tebet bolsonaro e etc pra se eleger, Alexandre de Moraes e um capacho mesmo… https://t.co/1lV9EOusXF",Twitter for Android,2,0,"Rio Grande do Norte, Brasil"
49,𝒀𝒂𝒏𝒌𝒐,2022-11-06 18:48:59+00:00,"@Luciano94891673 @euagathab @LuizCamargoVlog Nunca pensei que diria isso, mas. . . Queremos e precisamos de uma int… https://t.co/FeYtLCKl8g",Twitter for Android,1,0,
50,aquele la,2022-11-06 17:46:53+00:00,"O que eu acho:

Lula (centro-esquerda)
Bolsonaro (Direita)
Ciro (centro)
Tebet (centro)
D’vila (centro-direita)
Sor… https://t.co/ZEJS9chjxq",Twitter for iPhone,0,0,
51,Wbaldina Cruvinel,2022-11-06 17:02:34+00:00,@FlavioBolsonaro Vão tentando. Talvez vcs consigam provas consistentes e assim façam novas eleições entre Tebet e C… https://t.co/7k2ys0y98z,Twitter for iPhone,0,0,
52,TuzaK,2022-11-06 16:24:49+00:00,@cacaucb @tabuol Quem elegeu o lula foi o eleitor do Ciro a porcentagem dessa eleição e a difere de votos pra quem… https://t.co/ACbsUhPQgB,Twitter for iPhone,0,0,MG
53,Emerson,2022-11-06 16:21:13+00:00,"@semesaid @nadanovonofront Vc fala como se Lula e Dilma nunca houvessem falado nada, que só existe Bolsonaro. Lembr… https://t.co/yWFy2oL4vm",Twitter for Android,0,0,
54,Empreiteiro Curioso,2022-11-06 15:20:02+00:00,@SissyRibs @TheBasementPro3 @jnascim Lula tem 40% do eleitorado e muitos desses não estão nem ai pra esquerda ou di… https://t.co/QMeKIh3Hb5,Twitter Web App,1,0,
55,Francisca Robéria🌵,2022-11-06 14:53:59+00:00,"@cirogomes O Ciro foi o maior auxiliar e cabo eleitoral do Bozo, conseguindo transferir a maioria dos seus votos pa… https://t.co/GYcsbhJraY",Twitter for Android,0,0,
56,sa 1️⃣3️⃣🚩,2022-11-06 14:52:38+00:00,"@Pires736301601 @LuDelTaco @CamilaL86437782 @PedroRonchi2 ""Quem sabe seus direitos não passa por enganos"" infelizme… https://t.co/tSULUkDaK3",Twitter for Android,0,0,
57,Francisca Robéria🌵,2022-11-06 14:47:30+00:00,"@vinico197 @alberi_petersen @cirogomes A verdade é que a maioria dos eleitores do Ciro, assim como ele, traiu o Bra… https://t.co/7tlAl3O7t2",Twitter for Android,1,0,
58,⚫コリンチャンス⚪,2022-11-06 14:27:47+00:00,"@comentandofut2 @fernandokimeru @Caduuudo @eixopolitico Eu não queria nunca ter votado no lula, mas Ciro Gomes e Si… https://t.co/GIfeB4NyYe",Twitter for Android,1,0,"Campinas, Brasil"
59,André Ribeiro,2022-11-06 14:00:36+00:00,@JHPadilha01 @PDT_Nacional @cirogomes Bolsonaro cresceu 7 milhões de votos e Lula apenas 3 milhões. A maioria do el… https://t.co/cTC6JPaO0X,Twitter for Android,5,0,
60,Julio Marinho (veja meu fixado)🔻🏳️‍🌈 ⚣ 🦖,2022-11-06 13:03:37+00:00,"Se fosse Tebet ou Ciro no segundo turno com Bolsonaro, a derrota do bozo teria sido acachapante, só foi apertadinha… https://t.co/GYm0oHQ3rR",Twitter Web App,12,4,Rio de Janeiro
61,F●F●K@,2022-11-06 11:04:05+00:00,@opropriopedron @cirogomes Eu votei em Bolsonaro em 2018🤦🏻‍♀️ E agora queria ter ido de Tebet ou Ciro 🗣 Mas como NÃ… https://t.co/xTRtB2EyR5,Twitter for Android,0,0,
62,Pedro Silva,2022-11-06 10:53:43+00:00,"@danizinha_8282 @cirogomes Diferença entre Bolsonaro e Lula no primeiro turno: 6 milhões de votos
Diferença entre e… https://t.co/YA7OSNDGla",Twitter for Android,0,0,In Ur ânus 
63,Giovane Garcia,2022-11-06 09:16:16+00:00,"@AlanLopesRio Ciro e Simone Tebet já devem estar cansados desse troca-troca de lado.
Bolsonaro ia ganhar no 1 turno… https://t.co/Tgd4QghImx",Twitter for Android,0,0,
64,🅰️mor 🅰️lvinegro 1️⃣3️⃣ 🏆🏆🏆,2022-11-06 03:27:12+00:00,@nadanovonofront MDA e a Quaest foram as únicas que cravaram tendência de queda do Lula e tendência de alta pro Bol… https://t.co/HCwVOcm8WJ,Twitter for Android,5,0,"Belo Horizonte, Brasil"
65,Fabio Rabelo 🌹,2022-11-06 01:48:49+00:00,@mbella_713 @LadislauTopera @Amanda_e_Ed @VanessaHorner @emiliomoreno Acabei de comentar na sua resposta. Vc só vê… https://t.co/aM6JnkyP3i,Twitter for Android,0,0,Fortaleza 
66,Fabio Rabelo 🌹,2022-11-06 01:46:03+00:00,@OFladeLandim @mbella_713 @LadislauTopera @Amanda_e_Ed @VanessaHorner @emiliomoreno Primeiro que as pesquisas eram… https://t.co/C55TGw5jfh,Twitter for Android,0,0,Fortaleza 
67,Cyrano rabugento,2022-11-05 22:58:26+00:00,"@chanandlerb0nng @MarcosCintra Nessa eleição vimos mais de 40 anos de experiência em de gestão de Sarney, FHC, Lula… https://t.co/rxsofMMB6n",Twitter for iPhone,2,1,Com amigos e com quem amo
68,Papo Puxado,2022-11-05 21:48:20+00:00,Durante a campanha era ridículo ver o desfile de hipocrisia de pessoas criticando o apoio de Sérgio Moro a Bolsonar… https://t.co/aTVVcteYpQ,Twitter Web App,0,0,Maceió - Alagoas
69,҉̸̶͛͂̆̓̅͋̄̀̿͊̍̈̔͐̾͋̈́͆̎̽͋̅͐̽̽͋̾̔̉̕͞͝Elí 🌹̋͐̈́̈̈̏́,2022-11-05 21:15:15+00:00,"@camargo_jobson @maatfagundes Tem quem ignore o eleitor de Tebet tbm.

Não acredito que nenhum dos dois eleitorado… https://t.co/XzNB9x0pvm",Twitter for Android,1,0,
70,Benjamin Arrola,2022-11-05 20:39:47+00:00,"@jessemouraP @andrefernm Só pra deixar claro, no espectro político Lula é sócio democrata, que nem o Obama, ele nun… https://t.co/FqQTcvS1TT",Twitter for Android,0,0,
71,João Luiz,2022-11-05 20:21:34+00:00,"@Douglas81976854 @hugocbraga No debate, sem lula, o foco de ciro e bolsonaro foi lula.
Tebet não deixou de atacar l… https://t.co/Ld0Hb9AdyO",Twitter for Android,0,0,"Caragua, SP, Brasil"
72,🇧🇷🇧🇷Douglas #VoteiNoCiro 🌹🇧🇷🇧🇷,2022-11-05 19:47:13+00:00,"@joaoluizcaragua Voce tá comparando coisas diferentes. Se as pesquisas tivessem mostrado a realidade. Ciro com 12%,… https://t.co/KA58opgTMf",Twitter for Android,0,0,
73,Juvenal,2022-11-05 19:46:55+00:00,"@Ricamconsult Por isso imprensa tenta empurrar alguém do centrão ( 3a via ) o tempo todo

Você viu as acusações que… https://t.co/EoxWE63vQg",Twitter Web App,0,0,"Salvador, Brasil"
74,João Luiz,2022-11-05 19:25:09+00:00,"@Douglas81976854 @hugocbraga Teríamos ali, Ciro, tebet, talvez moro e até dória
O grande erro na sua análise é culp… https://t.co/osRyWaZ73C",Twitter for Android,0,0,"Caragua, SP, Brasil"
75,Sério e Idôneo,2022-11-05 16:41:25+00:00,"Estamos lascados, sem sombra de dúvidas. Não há caminho fácil. Deveríamos ter votado em Ciro, em Tebet, em Dávila,… https://t.co/DnRFdKtaqP",Twitter for iPhone,0,0,"Vila Boa, Brasil"
76,Lala Crowley,2022-11-05 16:22:57+00:00,"@Quirinossauro @ynaojv @gabypomper @MelissaSteffani @choquei Se o Bolsonaro tivesse ganho essa eleição, mas no prim… https://t.co/j2T6BZD3cB",Twitter for Android,0,0,"São Paulo, Brasil"
77,Allan Silva,2022-11-05 15:59:23+00:00,"@ThaisRMaschio Lula teve 7,7 milhões de votos a mais que o Haddad no Sudeste. 1,3 milhão a mais no Sul. Se não foss… https://t.co/mb3EL1N1HY",Twitter for Android,3,0,
78,Jason Bourne,2022-11-05 13:39:17+00:00,"STF ferrou com o Brasil livrando o Lula. Em qualquer outro cenário nada disso aconteceria.  Se Tebet, Ciro ou qualq… https://t.co/pWxwcPKBna",Twitter Web App,1,0,"Salvador, Bahia, Brasil"
79,Pauloˢᶜʳ#SAF no SPORT🦁🇧🇷☘️,2022-11-05 06:22:00+00:00,"@crissz06_ @SrSincerol @neymarjrdepre Posso citar 20
Richarlison
Firmino
Gabriel Jesus
Pedro
Diego Souza
Vagner Lov… https://t.co/xBsHRUq2mr",Twitter for Android,6,0,
80,Carlos Quandt,2022-11-05 02:44:39+00:00,"@OIncrivelAranha @norton_ortiz @Capyvara É válido questionar, sem presumir a fraude. No caso dessas aldeias indígen… https://t.co/22iXzCf262",Twitter Web App,3,0,Brazil
81,Abdiel,2022-11-05 02:40:54+00:00,@ricardope @OGloboPolitica O crescimento de Bolsonaro no 2º turno está atrelado justamente ao eleitor de Tebet e Ci… https://t.co/6V47eAI5x5,Twitter for iPhone,0,0,Cacoal-RO
82,@Duduaval,2022-11-05 02:18:04+00:00,"FICO SEM ENTENDER QUAL É  DESSE ALCKMIM tebet CIRO fhc,MARINA, TANTOS ACUSARAM LULA DE LADRÃO E AGORA LULA É  BONZI… https://t.co/30pBWPpNsO",Twitter for Android,0,0,
83,★|Raquel| ☆ . راكيل,2022-11-05 01:00:58+00:00,"@eudeshmarins @Rconstantino Lula seria sim a melhor opção contra ciro, tebet, o padre, o próprio bozo, marina ou qu… https://t.co/Gdt0qhZUJ7",Twitter for iPhone,0,0,
84,JCCRVG777,2022-11-05 00:31:28+00:00,"@pprado2003 @raazconceituado @unacional_ @ariobar Pode ter certeza que com um presidente como o Ciro, ou até mesmo… https://t.co/mFAbapt46Q",Twitter for Android,1,0,
85,Vitor Hugo Bacic Pessoa Vidal,2022-11-05 00:18:18+00:00,"@J0A0Designer @monark @PHGutemberg @ThiagoNigro Se não tivesse Bolsonaro, tvz desse pra levar mais sério. Provavelm… https://t.co/BujPr7GiTt",Twitter Web App,4,0,
86,L de Larissa ❤️👆🏼,2022-11-04 23:38:34+00:00,@bbcbrasil Eu não concordo com essa matemática simplificada. Acredito que Bolsonaro ganhou votos dentro do curral d… https://t.co/zTCCf3gico,Twitter for Android,2,0,
87,Fabiano Artiles 13 ⭐🚩,2022-11-04 23:05:22+00:00,"Tebet - 4,9 milhões de votos 
Ciro - 3,5 milhões de votos
Soraya e D'Ávila - 1,1 milhão de votos
------------------… https://t.co/iJr8mqbRvk",Twitter for Android,0,0,Campos/RJ - Rio de Janeiro/RJ
88,Guilherme Piaseski,2022-11-04 22:28:07+00:00,"As mesmas urnas que elegeram Bolsonaro em 2018 agora não prestam e podem ser burladas. Anulem a eleição, tornem ine… https://t.co/Km5NiI5hpf",Twitter for Android,0,0,"Porto Alegre, Brasil"
89,Sabrina Trézze,2022-11-04 20:22:31+00:00,@DesejoViril @gnohff @VniaAra53104480 @duduzinho_10 @AndreJanonesAdv Eu votaria até no Tiririca se fosse para tirar… https://t.co/H1PtEXoD86,Twitter for Android,0,0,Niterói - RJ
90,:( 🌹🇧🇷 🇨🇳,2022-11-04 19:54:01+00:00,@Jonnynho2 @tuzakoficial @APrimeiraVia já era pro PT em 2026 vai morrer politicamente qual vai ser o candidato? alc… https://t.co/4mVVYmhpvR,Twitter Web App,1,0,
91,Mherry Paola Goncalves,2022-11-04 19:27:37+00:00,"Pai Augusto faz previsões sobre futuro de Lula, Bolsonaro, Tebet e Ciro - Politica - Estado de Minas https://t.co/d6q2apEt1w",Twitter for Android,0,0,
92,ORDEP,2022-11-04 18:06:49+00:00,"@RazaoSonho @mayar___a @lucianoregis @BlogdoNoblat Quem entendeu oq o Ciro fala, não vota no Bolsonaro, não viaja.… https://t.co/s6F8C8bD8R",Twitter for Android,1,0,
93,a véia dos gatos 🐱,2022-11-04 17:51:43+00:00,"Por favor, eleitor do Lula, do Bolsonaro, da Tebet, do Ciro, até do Padre Kelmon kkkkkkk COMPRA MINHA RIFA 🥺🥺 https://t.co/aopPKxMPdS",Twitter for Android,0,1,"São Luís, Brasil"
94,Fellipe Soares,2022-11-04 17:13:36+00:00,"@Khanisson Não mente, mas compreende mal. Se fosse um mero VETO ao Bolsonaro, porque o eleito foi Lula e não Ciro ou Tebet?",Twitter for Android,1,0,
95,Henrique,2022-11-04 17:04:43+00:00,@mayar___a @SorryKierkegard @BlogdoNoblat Não foi não... https://t.co/UfF7NaXcPJ,Twitter for Android,3,0,"Brasília, Brasil 🇧🇷"
96,Júnia Br@sil 🗣️| 🎙️,2022-11-04 16:28:19+00:00,"Minha família, antes quase 100% bolsonaro nesta eleição se dividiu em Bolsonaro, Lula e Tebet. 

No segundo turno o… https://t.co/sqoEgcuGf7",Twitter Web App,0,0,Brazil
97,Cirote 🌹,2022-11-04 15:58:04+00:00,"Ciro previu sim que o dia seguinte às eleições seria de ódio, porém, meus amigos, vai ficando claro que fosse quem… https://t.co/5jPKugNzED",Twitter for iPhone,1,0,
98,JAF 😇,2022-11-04 14:31:16+00:00,"@filipesabara No segundo turno desta eleição, o Bolsonaro perderia para Tebet ou Ciro da mesma forma que perdeu par… https://t.co/sl4TTJmg54",Twitter for iPhone,3,0,
99,jurídico luiz inacio ☭🇵🇸,2022-11-04 14:20:39+00:00,@Bbbmaniaca7 @spedrojunior @growlsooya @diogenesaraujo_ @tiagosantineli o lula na real só venceu porque o bolsonaro… https://t.co/bDitGGuY28,Twitter for Android,13,0,
100,Fabiano Artiles 13 ⭐🚩,2022-11-04 13:31:09+00:00,"@vincoes @WaldoFFC1902 Sua teoria está equivocada.

Lula perdeu alguns votos. Mas os votos de Tebet e Ciro que entr… https://t.co/B8IgA7s6NJ",Twitter for Android,0,0,Campos/RJ - Rio de Janeiro/RJ
101,lucas,2022-11-04 12:52:57+00:00,"@AlessandraBrvna @OGloboPolitica Avaliando pro pela minha zona Lula +5mil votos a mais, e Bolsonaro +12mil em compa… https://t.co/3czU5JV11o",Twitter for Android,0,0,
102,Jedi Pensador,2022-11-04 12:34:35+00:00,"Independentemente de quem seja seu candidato #Lula, #Bolsonaro, #Tebet #Ciro, Padre (""Kelson, Kelvin? Candidato Pad… https://t.co/Dx7ln8InUA",Twitter for Android,0,0,Brasil
103,Orlando Silva 🏀⛹️,2022-11-04 10:41:41+00:00,@manuellac @jairmearrependi É  foi o Lula que preferiu enfrentar o Bolsonaro pois sabia que era a única chance de g… https://t.co/iiHQidPdRx,Twitter for Android,0,0,"Caraguatatuba, Brasil"
104,Eduardo Stein,2022-11-04 08:07:20+00:00,"@Fredkrepe Discordo. Pela sua lógica, a terceira via deveria ter feito mais votos. Ciro, Tebet e todos os demais to… https://t.co/Sxrcd5vF1y",Twitter Web App,0,0,
105,Ayrton Gregório,2022-11-04 05:09:00+00:00,"No segundo turno Lula cresceu 2,81% enquanto que Bolsonaro subiu 5,02%. Se somar o crescimento dos dois candidatos… https://t.co/frRW8ByS8C",Twitter for Android,2,0,Natal
106,ge,2022-11-04 01:43:24+00:00,@LuisEdu2308 @peucamposs @TuaneCamila5 @__Merre @tatilu60856001 @brom_elisa Todo político usa dinheiro de algum lug… https://t.co/H5qaF6Y61e,Twitter for Android,0,0,
107,barbie.chr,2022-11-04 01:03:31+00:00,"agora minha mente só sabe pensar em bolsonaro, lula, simone tebet, ciro gomes, soraya, davila, padre Kelmon, leonar… https://t.co/xgJQ9ZrRmx",Twitter for Android,1,0,she/her
108,Digão,2022-11-03 22:29:25+00:00,"@thinkmoreBrazil Tanto Lula quanto Bolsonaro só tinham qualquer chance um contra o outro.

Se qualquer um deles tiv… https://t.co/HTZEtwmTth",Twitter for iPhone,0,0,Natal/Ipueira RN
109,saori kido,2022-11-03 22:22:12+00:00,"Como a minha seção votou pra presidente:
VOTOS:

1º TURNO

Bolsonaro: 157 (53,23%)
Lula: 99 (33,56%)
Tebet: 17 (5,7… https://t.co/VLJ53oyW2f",Twitter Web App,1,0,"Curitiba, Paraná"
